Title,Autor,Publisher,Edition,Year,ISBN
Education Towards Freedom,"Rudel, Joan and Siegfried","Lanthorn Press, Peredur, East Grinstead, England",4,1986,
Bullying - Changing the Course of Your Child's Life,"Voors, William",Hazelden,,2000,1-56838-517-X
Awakening Your Child's Natural Genius,"Armstrong, Thomas","Jeremy P. Tarcher, Inc., Los Angeles",,1991,0-87477-608-2
From Your Child's Teacher,"Bright, Robin",FP Hendricks Publishing Ltd.,,1998,0-96829-703-X
Parents Do Make a Difference,"Borba, Michele",Jossey-Bass,,1999,0-7879-4605-2
Rythms of Learning,"Trostli, Roberto",Anthroposophic Press,,1998,0-88010-451-1
Parents as People,"Kane, Franklin G.",Aurora Publishers,,1987,0-88925-820-1
Spelling for Parents,"Phenix, Jo / Scott-Dunne, Doreen",Pembrook Publishers Limited,,1994,1-55138-019-6
Lifeways - Working with Family Questions,"Davy, Gudrun / Voors, Bons",Hawthorn Press,3,1985,0-950-7062-4-8
Why Motor Skills Matter,"Losquadro Liddle, Tara",The McGraw-Hill Companies,,2004,0-07-140818-5
A Guide to Child Health,"Gloeckler, Michaela / Goebel, Wolfgang",Floris Books,,1984,0-86315-104-3
Navigating the Terrain of Childhood,"Petrash, Jack",Nova Institute Press,,2004,0-9758552-0-4
Healign Stories for Challenging Behaviour,"Perrow, Susan",Hawthorn Press,,2012,978-1-93458-78-5
Hold on to Your Kids,"Neufeld, Gordon / Mate, Gabor",Vintage Canada,,2005,0-676-97472-4
Echoes of a Dream,"Smith, Susan","Beacon Herald Fine Printing Division, Stratford, Ontario, Canada",,1982,
"If Learning is so Natural, Why am I going to School?","Nikiforuk, Andrew",Penguin Books,,1994,0-14-024264-3
The Gift of Dyslexia,"Davis, Ronald D.",The Berkely Publishing Group,2,1997,0-399-52293-X
the Out-of-Sync Child,"Stock Kranowitz, Carol",The Berkely Publishing Group,,2005,0-399-53165-3
The Optimistic Child,"Seligman, Martin E.",Harper Perennial,,1995,0-06-097709-4
365 Outdoor Activities,"Bennett, Steve and Ruth","Bob Adams, Inc., Publishers",,1993,1-5580-260-2
Kids are Worth it!,"Coloroso, Barbara",Somerville House Publishing,,1994,0-921051-74-3
