-1,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount
0,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,Juvenile Fiction,4,NOT_MATURE,Yearling,2009-01-16,304
1,Inward Journey,na,en,Medical,0,NOT_MATURE,Open Court Publishing Company,Jan-83,133
2,The Boston Directory ...,na,en,Boston,0,NOT_MATURE,na,1865,0
3,Bring Your Own Devices (BYOD) Survival Guide,['Jessica Keyes'],en,Business & Economics,0,NOT_MATURE,CRC Press,2016-04-19,451
4,Enterprise 2.0,['Jessica Keyes'],en,Business & Economics,0,NOT_MATURE,CRC Press,2016-04-19,425
5,The CIO's Guide to Oracle Products and Solutions,['Jessica Keyes'],en,Business & Economics,0,NOT_MATURE,CRC Press,2014-09-02,288
6,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,Computers,0,NOT_MATURE,CRC Press,2016-04-19,528
7,Implementing the Project Management Balanced Scorecard,['Jessica Keyes'],en,Business & Economics,0,NOT_MATURE,CRC Press,2010-07-20,447
8,Social Software Engineering,['Jessica Keyes'],en,Computers,0,NOT_MATURE,CRC Press,2016-04-19,481
9,Classes on Modern Poets and the Art of Poetry,['James Dickey'- 'Donald J. Greiner'],en,Biography & Autobiography,4.5,NOT_MATURE,Univ of South Carolina Press,04-Jan,310
10,Population Health Science,['Katherine M. Keyes'- 'Sandro Galea'- 'Robert a Knox Professor and Dean Sandro Galea- MD'],en,na,0,NOT_MATURE,Oxford University Press,2016-08-04,224
11,Retelling the Nicaraguan Revolution as a Dionysian Ritual,['Martina Handler'],en,History,0,NOT_MATURE,LIT Verlag Münster,2010,139
12,Flowers for Algernon,['BookCaps Study Guides Staff'],en,Biography & Autobiography,0,NOT_MATURE,BookCaps Study Guides,2011,0
13,Handbook of Applied Developmental Science,['Richard M. Lerner'- 'Francine Jacobs'- 'Donald Wertlieb'],en,Psychology,0,NOT_MATURE,SAGE,2003,2296
14,Wade Keyes' introductory lecture to the Montgomery Law School,['David I. Durham'- 'Wade Keyes'- 'Paul M. Pruitt'],en,Law,0,NOT_MATURE,na,2001,45
15,The Journal of the Iowa Academy of Science,na,en,Science,0,NOT_MATURE,na,1989,0
16,Dental Science in a New Age,['Ruth Roy Harris'],en,Dentistry,0,NOT_MATURE,na,1989,476
17,List of the Scientific Writings of Charles Rollin Keyes,na,en,Geology,0,NOT_MATURE,na,1909,23
18,A Study Guide for Daniel Keyes's Flowers for Algernon,['Gale- Cengage Learning'],en,Literary Criticism,0,NOT_MATURE,Gale- Cengage Learning ,2015-03-13,15
19,Domain-based Parallelism and Problem Decomposition Methods in Computational Science and Engineering,['David E. Keyes'- 'Yousef Saad'- 'Donald G. Truhlar'],en,Mathematical optimization,0,NOT_MATURE,SIAM,1995-01-01,323
20,United States Department of Commerce Telephone Directory,['United States. Dept. of Commerce'],en,na,0,NOT_MATURE,na,1991,0
21,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,Computers,0,NOT_MATURE,CRC Press,2016-04-19,528
22,Technology Trendlines,['Jessica Keyes'],en,Business & Economics,0,NOT_MATURE,John Wiley & Sons,1995-08-09,394
23,Biography and Genealogy Master Index,na,en,Biography,0,NOT_MATURE,na,1997,0
24,Technical Paper - Bureau of Mines,['United States. Bureau of Mines'],en,Mineral industries,0,NOT_MATURE,na,1931,0
25,The Corporate Directory of US Public Companies 1995,['Elizabeth Walsh'],en,Business & Economics,0,NOT_MATURE,Springer,2016-06-11,2664
26,The National Deans List- 1997-98,na,en,Students,3,NOT_MATURE,na,1998,832
27,Who's who in Technology,na,en,Technologists,0,NOT_MATURE,na,1986,0
28,The United States Patents Quarterly,na,en,Copyright,0,NOT_MATURE,na,1996,0
29,ACSA Annual Directory,['Association of Collegiate Schools of Architecture'],en,Architecture,0,NOT_MATURE,na,1991,0
30,World War II: the Encyclopedia of the War Years- 1941-1945,['Norman Polmar'- 'Thomas B. Allen'],en,History,1,NOT_MATURE,Courier Corporation,2012-08-15,940
31,Bulletin - New Mexico Bureau of Mines & Mineral Resources,['New Mexico. Bureau of Mines and Mineral Resources'],en,Geology,0,NOT_MATURE,na,1915,0
32,Whitaker's Five-year Cumulative Book List,na,en,English literature,0,NOT_MATURE,na,1968,0
33,American Predator,['Maureen Callahan'],en,True Crime,4,NOT_MATURE,Penguin,2019-07-02,304
34,Whitaker's Cumulative Book List,na,en,Great Britain,0,NOT_MATURE,na,1961,0
35,Business Organizations- Keyed to Soderquist,['Casenotes'],en,Business & Economics,0,NOT_MATURE,Aspen Publishers Online,2006-01-20,208
36,Next-Generation Biofuels,['William T. Coyle'],en,Alcohol as fuel,0,NOT_MATURE,DIANE Publishing,10-Sep,26
37,Casenote Legal Briefs for Business Organizations- Keyed to Smiddy and Cunningham,['Casenote Legal Briefs'],en,Law,0,NOT_MATURE,Wolters Kluwer Law & Business,2011-03-15,252
38,No Oath Sworn,['Phil Geusz'],en,Fiction,0,NOT_MATURE,Lulu.com,2012-12-01,226
39,Southern Writers,['Joseph M. Flora'- 'Amber Vogel'],en,Reference,0,NOT_MATURE,LSU Press,2006-06-21,504
40,Therapist's Guide to Positive Psychological Interventions,['Jeana L. Magyar-Moe'],en,Psychology,0,NOT_MATURE,Academic Press,2009-07-30,200
41,A Handbook for the Study of Mental Health,['Teresa L. Scheid'- 'Eric R. Wright'],en,Medical,0,NOT_MATURE,Cambridge University Press,2017-06-08,736
42,Foundations of Professional Psychology,['Timothy P Melchert'],en,Psychology,0,NOT_MATURE,Elsevier,2011-07-12,262
43,Implementing the IT Balanced Scorecard,['Jessica Keyes'],en,Computers,0,NOT_MATURE,CRC Press,2016-04-19,528
44,Brain Mystery Light and Dark,['Charles Don Keyes'],en,Philosophy,0,NOT_MATURE,Routledge,2006-06-07,184
45,The Courage to Write,['Ralph Keyes'],en,Language Arts & Disciplines,4,NOT_MATURE,Holt Paperbacks,2003-10-01,240
46,Epidemiology Matters,['Katherine M. Keyes'- 'Sandro Galea'],en,Medical,0,NOT_MATURE,Oxford University Press,2014-06-17,304
47,Thermodynamic Functions of Gases: Ammonia- carbon dioxide and carbon monoxide,['F. Din'],en,Gases,0,NOT_MATURE,na,1956,175
48,Journal of Heat Transfer,na,en,Heat,0,NOT_MATURE,na,1964,0
49,Data Modeling Essentials,['Graeme Simsion'- 'Graham Witt'],en,Computers,4,NOT_MATURE,Elsevier,2004-12-03,560
50,CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,Literary Criticism,0,NOT_MATURE,Houghton Mifflin Harcourt,2001-03-07,66
51,The Infernal City: An Elder Scrolls Novel,['Greg Keyes'],en,Fiction,3.5,NOT_MATURE,Del Rey,2009-11-24,304
52,Sushi for Beginners,['Marian Keyes'],en,Fiction,3.5,NOT_MATURE,Harper Collins,2009-03-17,448
53,Angels,['Marian Keyes'],en,Fiction,4,NOT_MATURE,Harper Collins,2009-03-17,448
54,Science Fiction and Fantasy Literature,['R. Reginald'- 'Douglas Menville'- 'Mary A. Burgess'],en,Reference,0,NOT_MATURE,Wildside Press LLC,10-Sep,800
55,Independence Day: Crucible,['Greg Keyes'],en,Fiction,0,NOT_MATURE,Titan Books,2016-05-27,384
56,The Mammoth Encyclopedia of Science Fiction,['George Mann'],en,Fiction,3,NOT_MATURE,Hachette UK,2012-03-01,160
57,The Mystery of Mercy Close,['Marian Keyes'],en,Fiction,3.5,NOT_MATURE,Penguin,2013-04-09,400
58,The New Orleans of Fiction,['James A. Kaser'],en,Literary Criticism,0,NOT_MATURE,Scarecrow Press,2014-07-29,426
59,Lord of Souls,['J. Gregory Keyes'],en,Fiction,3,NOT_MATURE,Ballantine Books,2011,316
60,The Dardanelles Campaign- 1915,na,en,History,0,NOT_MATURE,Greenwood Publishing Group,1997,163
61,The Routledge Handbook of Stylistics,['Michael Burke'],en,Language Arts & Disciplines,0,NOT_MATURE,Routledge,2017-11-27,530
62,The Liberation Trilogy Box Set,['Rick Atkinson'],en,History,1,NOT_MATURE,Henry Holt and Company,2013-10-22,2416
63,Legacy Discovered,['Kerry Reis'],en,Fiction,0,NOT_MATURE,Author House,13-Sep,188
64,Masterplots II- Short Story Series- Supplement,['Frank N. Magill'],en,Juvenile Fiction,0,NOT_MATURE,na,1996,1746
65,Elisha Jones House and Shed,['James J. Lee (III.)'- 'Historic Architecture Program (United States. National Park Service. Northeast Region)'],en,Historic buildings,0,NOT_MATURE,na,2007,207
